poly_id,class,domain,sample,scene_time,scene_name
Fo_03_B_107,Fo,03,B,2026-07-18T09:00:16+00:00,NISAR_L2_PR_GSLC_025_146_A_168_2005_DHDH_M_20260718T090016_20260718T090051_P05023_N_F_J_001
Fo_03_U_106,Fo,03,U,2026-07-18T09:00:16+00:00,NISAR_L2_PR_GSLC_025_146_A_168_2005_DHDH_M_20260718T090016_20260718T090051_P05023_N_F_J_001
Fo_03_R_108,Fo,03,R,2026-07-18T09:01:57+00:00,NISAR_L2_PR_GSLC_025_146_A_171_2005_DHDH_M_20260718T090157_20260718T090231_P05023_N_F_J_001
Fo_07_U_46,Fo,07,U,2026-07-18T09:02:30+00:00,NISAR_L2_PR_GSLC_025_146_A_172_2005_DHDH_A_20260718T090230_20260718T090305_P05023_N_F_J_001
Gl_01_B_42,Gl,01,B,2026-07-18T09:02:30+00:00,NISAR_L2_PR_GSLC_025_146_A_172_2005_DHDH_A_20260718T090230_20260718T090305_P05023_N_F_J_001
Gl_01_R_43,Gl,01,R,2026-07-18T09:02:30+00:00,NISAR_L2_PR_GSLC_025_146_A_172_2005_DHDH_A_20260718T090230_20260718T090305_P05023_N_F_J_001
Sv_01_G_39,Sv,01,G,2026-07-18T09:02:30+00:00,NISAR_L2_PR_GSLC_025_146_A_172_2005_DHDH_A_20260718T090230_20260718T090305_P05023_N_F_J_001
Fo_01_G_34,Fo,01,G,2026-07-18T09:03:04+00:00,NISAR_L2_PR_GSLC_025_146_A_173_2005_DHDH_A_20260718T090304_20260718T090338_P05023_N_F_J_001
Fo_02_W_90,Fo,02,W,2026-07-18T09:03:04+00:00,NISAR_L2_PR_GSLC_025_146_A_173_2005_DHDH_A_20260718T090304_20260718T090338_P05023_N_F_J_001
Gl_01_U_41,Gl,01,U,2026-07-18T09:03:04+00:00,NISAR_L2_PR_GSLC_025_146_A_173_2005_DHDH_A_20260718T090304_20260718T090338_P05023_N_F_J_001
Gl_01_W_40,Gl,01,W,2026-07-18T09:03:04+00:00,NISAR_L2_PR_GSLC_025_146_A_173_2005_DHDH_A_20260718T090304_20260718T090338_P05023_N_F_J_001
Gl_11_W_145,Gl,11,W,2026-07-18T09:03:04+00:00,NISAR_L2_PR_GSLC_025_146_A_173_2005_DHDH_A_20260718T090304_20260718T090338_P05023_N_F_J_001
Sv_02_W_95,Sv,02,W,2026-07-18T09:03:04+00:00,NISAR_L2_PR_GSLC_025_146_A_173_2005_DHDH_A_20260718T090304_20260718T090338_P05023_N_F_J_001
Sv_11_G_144,Sv,11,G,2026-07-18T09:03:04+00:00,NISAR_L2_PR_GSLC_025_146_A_173_2005_DHDH_A_20260718T090304_20260718T090338_P05023_N_F_J_001
Fo_01_W_30,Fo,01,W,2026-07-18T21:38:15+00:00,NISAR_L2_PR_GSLC_025_154_D_096_2005_SHSH_A_20260718T213815_20260718T213850_P05023_N_F_J_001
Sv_01_W_35,Sv,01,W,2026-07-18T21:38:15+00:00,NISAR_L2_PR_GSLC_025_154_D_096_2005_SHSH_A_20260718T213815_20260718T213850_P05023_N_F_J_001
